Protein A	Protein B
Q02575	9606.ENSP00000306754
Q02575	9606.ENSP00000302189
Q02575	9606.ENSP00000295108
Q02575	9606.ENSP00000306754
Q02575	9606.ENSP00000388620
Q02575	9606.ENSP00000302189
Q02575	9606.ENSP00000374205
Q02575	9606.ENSP00000309570
Q02575	9606.ENSP00000458663
Q02575	9606.ENSP00000388620
Q02575	9606.ENSP00000318799
Q02575	9606.ENSP00000306754
Q02575	9606.ENSP00000374205
Q02575	9606.ENSP00000356357
Q02575	9606.ENSP00000388620
Q02575	9606.ENSP00000374205
Q02575	9606.ENSP00000388620
Q02575	9606.ENSP00000374205
Q02575	9606.ENSP00000388620
Q02575	9606.ENSP00000374205
P61020	9606.ENSP00000394071
P61020	9606.ENSP00000317955
P61020	9606.ENSP00000255006
P61020	9606.ENSP00000370208
P61020	9606.ENSP00000447053
P61020	9606.ENSP00000310406
P61020	9606.ENSP00000273047
P61020	9606.ENSP00000353444
P61020	9606.ENSP00000394071
P61020	9606.ENSP00000370208
P61020	9606.ENSP00000310406
P61020	9606.ENSP00000447053
P61020	9606.ENSP00000353444
P61020	9606.ENSP00000273047
P61020	9606.ENSP00000370208
P61020	9606.ENSP00000353444
P61020	9606.ENSP00000447053
P61020	9606.ENSP00000317955
P61020	9606.ENSP00000273047
P61020	9606.ENSP00000298910
P61020	9606.ENSP00000394071
P61020	9606.ENSP00000310406
P61020	9606.ENSP00000447053
P61020	9606.ENSP00000353444
P61020	9606.ENSP00000317955
P61020	9606.ENSP00000370208
P61020	9606.ENSP00000394071
P61020	9606.ENSP00000353444
P61020	9606.ENSP00000394071
P61020	9606.ENSP00000317955
P61020	9606.ENSP00000370208
P61020	9606.ENSP00000447053
P61020	9606.ENSP00000353444
P61020	9606.ENSP00000353444
P61020	9606.ENSP00000370208
P61020	9606.ENSP00000447053
P61020	9606.ENSP00000370208
P61020	9606.ENSP00000394071
P61020	9606.ENSP00000447053
P61020	9606.ENSP00000394071
P61020	9606.ENSP00000447053
P61020	9606.ENSP00000447053
Q15075	9606.ENSP00000376197
Q15075	9606.ENSP00000273047
Q15075	9606.ENSP00000333298
Q15075	9606.ENSP00000261890
Q15075	9606.ENSP00000317955
Q15075	9606.ENSP00000262039
Q15075	9606.ENSP00000445408
Q15075	9606.ENSP00000353444
Q15075	9606.ENSP00000447053
Q15075	9606.ENSP00000370208
Q15075	9606.ENSP00000333298
Q15075	9606.ENSP00000376197
Q15075	9606.ENSP00000317955
Q15075	9606.ENSP00000273047
Q15075	9606.ENSP00000445408
Q15075	9606.ENSP00000370208
Q15075	9606.ENSP00000333298
Q15075	9606.ENSP00000353444
Q15075	9606.ENSP00000447053
Q15075	9606.ENSP00000317955
Q15075	9606.ENSP00000273047
Q15075	9606.ENSP00000333298
Q15075	9606.ENSP00000376197
Q15075	9606.ENSP00000447053
Q15075	9606.ENSP00000353444
Q15075	9606.ENSP00000445408
Q15075	9606.ENSP00000317955
Q15075	9606.ENSP00000370208
Q15075	9606.ENSP00000376197
Q15075	9606.ENSP00000333298
Q15075	9606.ENSP00000353444
Q15075	9606.ENSP00000445408
Q15075	9606.ENSP00000370208
Q15075	9606.ENSP00000447053
Q15075	9606.ENSP00000447053
Q15075	9606.ENSP00000353444
Q15075	9606.ENSP00000376197
Q15075	9606.ENSP00000376197
Q15075	9606.ENSP00000445408
Q15075	9606.ENSP00000370208
Q15075	9606.ENSP00000447053
Q15075	9606.ENSP00000447053
Q15075	9606.ENSP00000445408
Q15075	9606.ENSP00000447053
Q15075	9606.ENSP00000447053
P47992	9606.ENSP00000310405
P47992	9606.ENSP00000337065
P47992	9606.ENSP00000296029
P47992	9606.ENSP00000356792
P47992	9606.ENSP00000379140
P47992	9606.ENSP00000474412
P47992	9606.ENSP00000306884
P47992	9606.ENSP00000305651
P47992	9606.ENSP00000427279
P47992	9606.ENSP00000354901
P47992	9606.ENSP00000310405
P47992	9606.ENSP00000356792
P47992	9606.ENSP00000337065
P47992	9606.ENSP00000427279
P47992	9606.ENSP00000379140
P47992	9606.ENSP00000474412
P47992	9606.ENSP00000306884
P47992	9606.ENSP00000305651
P47992	9606.ENSP00000354901
P47992	9606.ENSP00000310405
P47992	9606.ENSP00000427279
P47992	9606.ENSP00000337065
P47992	9606.ENSP00000356792
P47992	9606.ENSP00000474412
P47992	9606.ENSP00000379140
P47992	9606.ENSP00000354901
P47992	9606.ENSP00000306884
P47992	9606.ENSP00000310405
P47992	9606.ENSP00000356792
P47992	9606.ENSP00000337065
P47992	9606.ENSP00000379140
P47992	9606.ENSP00000474412
P47992	9606.ENSP00000427279
P47992	9606.ENSP00000354901
P47992	9606.ENSP00000427279
P47992	9606.ENSP00000337065
P47992	9606.ENSP00000379140
P47992	9606.ENSP00000354901
P47992	9606.ENSP00000474412
P47992	9606.ENSP00000356792
P47992	9606.ENSP00000427279
P47992	9606.ENSP00000474412
P47992	9606.ENSP00000356792
P47992	9606.ENSP00000354901
P47992	9606.ENSP00000379140
P47992	9606.ENSP00000356792
P47992	9606.ENSP00000427279
P47992	9606.ENSP00000379140
P47992	9606.ENSP00000474412
P47992	9606.ENSP00000427279
P47992	9606.ENSP00000474412
P47992	9606.ENSP00000379140
P47992	9606.ENSP00000427279
P47992	9606.ENSP00000474412
P47992	9606.ENSP00000474412
Q99616	9606.ENSP00000296028
Q99616	9606.ENSP00000379140
Q99616	9606.ENSP00000259607
Q99616	9606.ENSP00000378118
Q99616	9606.ENSP00000296140
Q99616	9606.ENSP00000306884
Q99616	9606.ENSP00000354901
Q99616	9606.ENSP00000305651
Q99616	9606.ENSP00000441600
Q99616	9606.ENSP00000292301
Q99616	9606.ENSP00000441600
Q99616	9606.ENSP00000292301
Q99616	9606.ENSP00000296140
Q99616	9606.ENSP00000296028
Q99616	9606.ENSP00000379140
Q99616	9606.ENSP00000306884
Q99616	9606.ENSP00000305651
Q99616	9606.ENSP00000354901
Q99616	9606.ENSP00000306884
Q99616	9606.ENSP00000296028
Q99616	9606.ENSP00000441600
Q99616	9606.ENSP00000296140
Q99616	9606.ENSP00000354901
Q99616	9606.ENSP00000379140
Q99616	9606.ENSP00000305651
Q99616	9606.ENSP00000378118
Q99616	9606.ENSP00000441600
Q99616	9606.ENSP00000296140
Q99616	9606.ENSP00000354901
Q99616	9606.ENSP00000378118
Q99616	9606.ENSP00000305651
Q99616	9606.ENSP00000306884
Q99616	9606.ENSP00000379140
Q99616	9606.ENSP00000306884
Q99616	9606.ENSP00000379140
Q99616	9606.ENSP00000354901
Q99616	9606.ENSP00000305651
Q99616	9606.ENSP00000441600
Q99616	9606.ENSP00000378118
Q99616	9606.ENSP00000441600
Q99616	9606.ENSP00000378118
Q99616	9606.ENSP00000379140
Q99616	9606.ENSP00000354901
Q99616	9606.ENSP00000306884
Q99616	9606.ENSP00000441600
Q99616	9606.ENSP00000379140
Q99616	9606.ENSP00000378118
Q99616	9606.ENSP00000354901
Q99616	9606.ENSP00000378118
Q99616	9606.ENSP00000441600
Q99616	9606.ENSP00000379140
Q99616	9606.ENSP00000379140
Q99616	9606.ENSP00000441600
Q99616	9606.ENSP00000441600
O00635	9606.ENSP00000343023
O00635	9606.ENSP00000359339
O00635	9606.ENSP00000349596
O00635	9606.ENSP00000305161
O00635	9606.ENSP00000408292
O00635	9606.ENSP00000433623
O00635	9606.ENSP00000484056
O00635	9606.ENSP00000359339
O00635	9606.ENSP00000349596
O00635	9606.ENSP00000408292
O00635	9606.ENSP00000349596
O00635	9606.ENSP00000354394
O00635	9606.ENSP00000408292
O00635	9606.ENSP00000484056
O00635	9606.ENSP00000378199
O00635	9606.ENSP00000433623
O00635	9606.ENSP00000354394
O00635	9606.ENSP00000359339
O00635	9606.ENSP00000356426
O00635	9606.ENSP00000359339
O00635	9606.ENSP00000433623
O00635	9606.ENSP00000433623
O00635	9606.ENSP00000408292
O00635	9606.ENSP00000433623
O00635	9606.ENSP00000484056
O00635	9606.ENSP00000433623
Q9Y2X8	9606.ENSP00000338413
Q9Y2X8	9606.ENSP00000222402
Q9Y2X8	9606.ENSP00000312988
Q9Y2X8	9606.ENSP00000441543
Q9Y2X8	9606.ENSP00000216797
Q9Y2X8	9606.ENSP00000381717
Q9Y2X8	9606.ENSP00000231487
Q9Y2X8	9606.ENSP00000363019
Q9Y2X8	9606.ENSP00000326804
Q9Y2X8	9606.ENSP00000222402
Q9Y2X8	9606.ENSP00000441543
Q9Y2X8	9606.ENSP00000363019
Q9Y2X8	9606.ENSP00000381717
Q9Y2X8	9606.ENSP00000231487
Q9Y2X8	9606.ENSP00000312988
Q9Y2X8	9606.ENSP00000326804
Q9Y2X8	9606.ENSP00000441543
Q9Y2X8	9606.ENSP00000231487
Q9Y2X8	9606.ENSP00000326804
Q9Y2X8	9606.ENSP00000466845
Q9Y2X8	9606.ENSP00000363019
Q9Y2X8	9606.ENSP00000381717
Q9Y2X8	9606.ENSP00000312988
Q9Y2X8	9606.ENSP00000338413
Q9Y2X8	9606.ENSP00000338413
Q9Y2X8	9606.ENSP00000312988
Q9Y2X8	9606.ENSP00000363019
Q9Y2X8	9606.ENSP00000441543
Q9Y2X8	9606.ENSP00000381717
Q9Y2X8	9606.ENSP00000326804
Q9Y2X8	9606.ENSP00000441543
Q9Y2X8	9606.ENSP00000381717
Q9Y2X8	9606.ENSP00000363019
Q9Y2X8	9606.ENSP00000326804
Q9Y2X8	9606.ENSP00000338413
Q9Y2X8	9606.ENSP00000363019
Q9Y2X8	9606.ENSP00000441543
Q9Y2X8	9606.ENSP00000381717
Q9Y2X8	9606.ENSP00000363019
Q9Y2X8	9606.ENSP00000381717
Q9Y2X8	9606.ENSP00000441543
Q9Y2X8	9606.ENSP00000466845
Q9Y2X8	9606.ENSP00000381717
Q9Y2X8	9606.ENSP00000441543
Q9Y2X8	9606.ENSP00000466845
Q9Y2X8	9606.ENSP00000441543
P61077	9606.ENSP00000260947
P61077	9606.ENSP00000418960
P61077	9606.ENSP00000258149
P61077	9606.ENSP00000338413
P61077	9606.ENSP00000441543
P61077	9606.ENSP00000349722
P61077	9606.ENSP00000477613
P61077	9606.ENSP00000258149
P61077	9606.ENSP00000338413
P61077	9606.ENSP00000441543
P61077	9606.ENSP00000433623
P61077	9606.ENSP00000349722
P61077	9606.ENSP00000477613
P61077	9606.ENSP00000338413
P61077	9606.ENSP00000356480
P61077	9606.ENSP00000418960
P61077	9606.ENSP00000260947
P61077	9606.ENSP00000349722
P61077	9606.ENSP00000441543
P61077	9606.ENSP00000441543
P61077	9606.ENSP00000356480
P61077	9606.ENSP00000349722
P61077	9606.ENSP00000418960
P61077	9606.ENSP00000477613
P61077	9606.ENSP00000418960
P61077	9606.ENSP00000349722
P61077	9606.ENSP00000441543
P61077	9606.ENSP00000356480
P61077	9606.ENSP00000477613
P61077	9606.ENSP00000441543
P61077	9606.ENSP00000433623
P61077	9606.ENSP00000418960
P61077	9606.ENSP00000418960
P61077	9606.ENSP00000441543
P61077	9606.ENSP00000441543
P61077	9606.ENSP00000477613
P61077	9606.ENSP00000477613
Q9HCM9	9606.ENSP00000485378
Q9HCM9	9606.ENSP00000365844
Q9HCM9	9606.ENSP00000355658
Q9HCM9	9606.ENSP00000295756
Q9HCM9	9606.ENSP00000363019
Q9HCM9	9606.ENSP00000365844
Q9HCM9	9606.ENSP00000295756
Q9HCM9	9606.ENSP00000365844
Q9HCM9	9606.ENSP00000355658
Q9HCM9	9606.ENSP00000363019
Q9HCM9	9606.ENSP00000365844
Q9HCM9	9606.ENSP00000363019
Q9HCM9	9606.ENSP00000365844
Q9HCM9	9606.ENSP00000365844
Q9HCM9	9606.ENSP00000365844
Q9HCM9	9606.ENSP00000485378
Q9HCM9	9606.ENSP00000415078
Q9HCM9	9606.ENSP00000451594
Q9HCM9	9606.ENSP00000485378
P05771	9606.ENSP00000380150
P05771	9606.ENSP00000263025
P05771	9606.ENSP00000428924
P05771	9606.ENSP00000263431
P05771	9606.ENSP00000331602
P05771	9606.ENSP00000496129
P05771	9606.ENSP00000408695
P05771	9606.ENSP00000482457
P05771	9606.ENSP00000306253
P05771	9606.ENSP00000482457
P05771	9606.ENSP00000306253
P05771	9606.ENSP00000428924
P05771	9606.ENSP00000263431
P05771	9606.ENSP00000331602
P05771	9606.ENSP00000496129
P05771	9606.ENSP00000408695
P05771	9606.ENSP00000289473
P05771	9606.ENSP00000331602
P05771	9606.ENSP00000482457
P05771	9606.ENSP00000428924
P05771	9606.ENSP00000289473
P05771	9606.ENSP00000496129
P05771	9606.ENSP00000306253
P05771	9606.ENSP00000408695
P05771	9606.ENSP00000428924
P05771	9606.ENSP00000331602
P05771	9606.ENSP00000408695
P05771	9606.ENSP00000496129
P05771	9606.ENSP00000331602
P05771	9606.ENSP00000428924
P05771	9606.ENSP00000496129
P05771	9606.ENSP00000408695
P05771	9606.ENSP00000482457
P05771	9606.ENSP00000380150
P05771	9606.ENSP00000428924
P05771	9606.ENSP00000482457
P05771	9606.ENSP00000496129
P05771	9606.ENSP00000408695
P05771	9606.ENSP00000482457
P05771	9606.ENSP00000428924
P05771	9606.ENSP00000496129
P05771	9606.ENSP00000428924
P05771	9606.ENSP00000482457
P05771	9606.ENSP00000496129
P05771	9606.ENSP00000496129
P05771	9606.ENSP00000482457
P05771	9606.ENSP00000496129
P31749	9606.ENSP00000497733
P31749	9606.ENSP00000262719
P31749	9606.ENSP00000354558
P31749	9606.ENSP00000263967
P31749	9606.ENSP00000344220
P31749	9606.ENSP00000360609
P31749	9606.ENSP00000368880
P31749	9606.ENSP00000335153
P31749	9606.ENSP00000339527
P31749	9606.ENSP00000451828
P31749	9606.ENSP00000263967
P31749	9606.ENSP00000335153
P31749	9606.ENSP00000360609
P31749	9606.ENSP00000344220
P31749	9606.ENSP00000354558
P31749	9606.ENSP00000451828
P31749	9606.ENSP00000339527
P31749	9606.ENSP00000360609
P31749	9606.ENSP00000368880
P31749	9606.ENSP00000335153
P31749	9606.ENSP00000354558
P31749	9606.ENSP00000344220
P31749	9606.ENSP00000497733
P31749	9606.ENSP00000451828
P31749	9606.ENSP00000339527
P31749	9606.ENSP00000497733
P31749	9606.ENSP00000368880
P31749	9606.ENSP00000344220
P31749	9606.ENSP00000360609
P31749	9606.ENSP00000354558
P31749	9606.ENSP00000451828
P31749	9606.ENSP00000360609
P31749	9606.ENSP00000344220
P31749	9606.ENSP00000354558
P31749	9606.ENSP00000368880
P31749	9606.ENSP00000451828
P31749	9606.ENSP00000360609
P31749	9606.ENSP00000368880
P31749	9606.ENSP00000354558
P31749	9606.ENSP00000451828
P31749	9606.ENSP00000497733
P31749	9606.ENSP00000368880
P31749	9606.ENSP00000360609
P31749	9606.ENSP00000451828
P31749	9606.ENSP00000368880
P31749	9606.ENSP00000497733
P31749	9606.ENSP00000451828
P31749	9606.ENSP00000451828
P31749	9606.ENSP00000497733
O43680	9606.ENSP00000359215
O43680	9606.ENSP00000331791
O43680	9606.ENSP00000356857
O43680	9606.ENSP00000250003
O43680	9606.ENSP00000388940
O43680	9606.ENSP00000368370
O43680	9606.ENSP00000356857
O43680	9606.ENSP00000388940
O43680	9606.ENSP00000356857
O43680	9606.ENSP00000369071
O43680	9606.ENSP00000359215
O43680	9606.ENSP00000368370
O43680	9606.ENSP00000358677
O43680	9606.ENSP00000371875
O43680	9606.ENSP00000432770
O43680	9606.ENSP00000388940
O43680	9606.ENSP00000369071
O43680	9606.ENSP00000368370
O43680	9606.ENSP00000368370
O43680	9606.ENSP00000432770
Q99081	9606.ENSP00000250003
Q99081	9606.ENSP00000381382
Q99081	9606.ENSP00000388940
Q99081	9606.ENSP00000295108
Q99081	9606.ENSP00000262367
Q99081	9606.ENSP00000381382
Q99081	9606.ENSP00000388940
Q99081	9606.ENSP00000388940
Q99081	9606.ENSP00000501277
Q99081	9606.ENSP00000294339
Q99081	9606.ENSP00000295108
Q99081	9606.ENSP00000381382
Q99081	9606.ENSP00000388940
Q99081	9606.ENSP00000295108
Q99081	9606.ENSP00000381382
Q99081	9606.ENSP00000388940
Q99081	9606.ENSP00000295108
Q99081	9606.ENSP00000381382
Q99081	9606.ENSP00000388940
Q99081	9606.ENSP00000501277
Q99081	9606.ENSP00000381382
Q99081	9606.ENSP00000388940
Q99081	9606.ENSP00000402257
Q99081	9606.ENSP00000501277
Q99081	9606.ENSP00000388940
Q99081	9606.ENSP00000501277
Q99081	9606.ENSP00000402257
P0CG48	9606.ENSP00000316176
P0CG48	9606.ENSP00000284440
P0CG48	9606.ENSP00000357876
P0CG48	9606.ENSP00000338413
P0CG48	9606.ENSP00000441543
P0CG48	9606.ENSP00000357876
P0CG48	9606.ENSP00000348632
P0CG48	9606.ENSP00000315112
P0CG48	9606.ENSP00000355865
P0CG48	9606.ENSP00000316176
P0CG48	9606.ENSP00000338413
P0CG48	9606.ENSP00000441543
P0CG48	9606.ENSP00000316176
P0CG48	9606.ENSP00000338413
P0CG48	9606.ENSP00000355865
P0CG48	9606.ENSP00000441543
P0CG48	9606.ENSP00000316176
P0CG48	9606.ENSP00000355865
P0CG48	9606.ENSP00000338413
P0CG48	9606.ENSP00000356426
P0CG48	9606.ENSP00000348632
P0CG48	9606.ENSP00000441543
P0CG48	9606.ENSP00000348632
P0CG48	9606.ENSP00000357876
P0CG48	9606.ENSP00000355865
P0CG48	9606.ENSP00000356426
P0CG48	9606.ENSP00000338413
P0CG48	9606.ENSP00000441543
P0CG48	9606.ENSP00000355865
P0CG48	9606.ENSP00000357876
P0CG48	9606.ENSP00000441543
P0CG48	9606.ENSP00000355865
P0CG48	9606.ENSP00000357876
P0CG48	9606.ENSP00000356426
P0CG48	9606.ENSP00000441543
P0CG48	9606.ENSP00000357876
P0CG48	9606.ENSP00000441543
P0CG48	9606.ENSP00000441543
P0CG48	9606.ENSP00000441543
Q05086	9606.ENSP00000495360
Q05086	9606.ENSP00000269305
Q05086	9606.ENSP00000497594
Q05086	9606.ENSP00000400906
Q05086	9606.ENSP00000381717
Q05086	9606.ENSP00000345731
Q05086	9606.ENSP00000363019
Q05086	9606.ENSP00000349486
Q05086	9606.ENSP00000467024
Q05086	9606.ENSP00000357876
Q05086	9606.ENSP00000495360
Q05086	9606.ENSP00000497594
Q05086	9606.ENSP00000495360
Q05086	9606.ENSP00000349486
Q05086	9606.ENSP00000497594
Q05086	9606.ENSP00000495360
Q05086	9606.ENSP00000497594
Q05086	9606.ENSP00000400906
Q05086	9606.ENSP00000381717
Q05086	9606.ENSP00000363019
Q05086	9606.ENSP00000497594
Q05086	9606.ENSP00000467024
Q05086	9606.ENSP00000495360
Q05086	9606.ENSP00000400906
Q05086	9606.ENSP00000381717
Q05086	9606.ENSP00000497594
Q05086	9606.ENSP00000467024
Q05086	9606.ENSP00000495360
Q05086	9606.ENSP00000400906
Q05086	9606.ENSP00000497594
Q05086	9606.ENSP00000467024
Q05086	9606.ENSP00000497594
Q05086	9606.ENSP00000497594
Q05086	9606.ENSP00000497594
P24941	9606.ENSP00000228872
P24941	9606.ENSP00000231487
P24941	9606.ENSP00000227507
P24941	9606.ENSP00000267163
P24941	9606.ENSP00000274255
P24941	9606.ENSP00000262643
P24941	9606.ENSP00000256442
P24941	9606.ENSP00000288207
P24941	9606.ENSP00000255465
P24941	9606.ENSP00000266970
P24941	9606.ENSP00000255465
P24941	9606.ENSP00000288207
P24941	9606.ENSP00000256442
P24941	9606.ENSP00000262643
P24941	9606.ENSP00000274255
P24941	9606.ENSP00000231487
P24941	9606.ENSP00000267163
P24941	9606.ENSP00000266970
P24941	9606.ENSP00000228872
P24941	9606.ENSP00000267163
P24941	9606.ENSP00000288207
P24941	9606.ENSP00000256442
P24941	9606.ENSP00000231487
P24941	9606.ENSP00000262643
P24941	9606.ENSP00000274255
P24941	9606.ENSP00000266970
P24941	9606.ENSP00000255465
P24941	9606.ENSP00000256442
P24941	9606.ENSP00000255465
P24941	9606.ENSP00000262643
P24941	9606.ENSP00000266970
P24941	9606.ENSP00000274255
P24941	9606.ENSP00000288207
P24941	9606.ENSP00000256442
P24941	9606.ENSP00000262643
P24941	9606.ENSP00000267163
P24941	9606.ENSP00000274255
P24941	9606.ENSP00000266970
P24941	9606.ENSP00000262643
P24941	9606.ENSP00000267163
P24941	9606.ENSP00000274255
P24941	9606.ENSP00000288207
P24941	9606.ENSP00000266970
P24941	9606.ENSP00000288207
P24941	9606.ENSP00000274255
P24941	9606.ENSP00000267163
P24941	9606.ENSP00000266970
P24941	9606.ENSP00000274255
P24941	9606.ENSP00000267163
P24941	9606.ENSP00000288207
P24941	9606.ENSP00000274255
P24941	9606.ENSP00000288207
Q96Q40	9606.ENSP00000406472
Q96Q40	9606.ENSP00000296679
Q96Q40	9606.ENSP00000423665
Q96Q40	9606.ENSP00000311083
Q96Q40	9606.ENSP00000364976
Q96Q40	9606.ENSP00000256442
Q96Q40	9606.ENSP00000288207
Q96Q40	9606.ENSP00000335153
Q96Q40	9606.ENSP00000406472
Q96Q40	9606.ENSP00000423665
Q96Q40	9606.ENSP00000288207
Q96Q40	9606.ENSP00000311083
Q96Q40	9606.ENSP00000364976
Q96Q40	9606.ENSP00000406472
Q96Q40	9606.ENSP00000423665
Q96Q40	9606.ENSP00000311083
Q96Q40	9606.ENSP00000364976
Q96Q40	9606.ENSP00000406472
Q96Q40	9606.ENSP00000423665
Q96Q40	9606.ENSP00000311083
Q96Q40	9606.ENSP00000364976
Q96Q40	9606.ENSP00000406472
Q96Q40	9606.ENSP00000423665
Q96Q40	9606.ENSP00000364976
Q96Q40	9606.ENSP00000423665
Q96Q40	9606.ENSP00000406472
Q96Q40	9606.ENSP00000444810
Q96Q40	9606.ENSP00000423665
Q96Q40	9606.ENSP00000406472
Q96Q40	9606.ENSP00000423665
Q96Q40	9606.ENSP00000406472
Q96Q40	9606.ENSP00000444810
Q96Q40	9606.ENSP00000423665
P42684	9606.ENSP00000365745
P42684	9606.ENSP00000275493
P42684	9606.ENSP00000427562
P42684	9606.ENSP00000361423
P42684	9606.ENSP00000295851
P42684	9606.ENSP00000304283
P42684	9606.ENSP00000310406
P42684	9606.ENSP00000427562
P42684	9606.ENSP00000365745
P42684	9606.ENSP00000361423
P42684	9606.ENSP00000346300
P42684	9606.ENSP00000300574
P42684	9606.ENSP00000300574
P42684	9606.ENSP00000427562
P42684	9606.ENSP00000304283
P42684	9606.ENSP00000361423
P42684	9606.ENSP00000310406
P42684	9606.ENSP00000365745
P42684	9606.ENSP00000346300
P42684	9606.ENSP00000427562
P42684	9606.ENSP00000361423
P42684	9606.ENSP00000361423
P42684	9606.ENSP00000427562
P42684	9606.ENSP00000427562
P42684	9606.ENSP00000361423
P42684	9606.ENSP00000379658
P42684	9606.ENSP00000427562
P42684	9606.ENSP00000361423
P42684	9606.ENSP00000365745
P42684	9606.ENSP00000379658
P42684	9606.ENSP00000427562
P42684	9606.ENSP00000427562
P42684	9606.ENSP00000427562
Q15642	9606.ENSP00000289968
Q15642	9606.ENSP00000393776
Q15642	9606.ENSP00000473001
Q15642	9606.ENSP00000310491
Q15642	9606.ENSP00000348602
Q15642	9606.ENSP00000238738
Q15642	9606.ENSP00000365891
Q15642	9606.ENSP00000320117
Q15642	9606.ENSP00000497733
Q15642	9606.ENSP00000289968
Q15642	9606.ENSP00000497733
Q15642	9606.ENSP00000310491
Q15642	9606.ENSP00000365891
Q15642	9606.ENSP00000320117
Q15642	9606.ENSP00000365891
Q15642	9606.ENSP00000310491
Q15642	9606.ENSP00000320117
Q15642	9606.ENSP00000497733
Q15642	9606.ENSP00000365891
Q15642	9606.ENSP00000320117
Q15642	9606.ENSP00000497733
Q15642	9606.ENSP00000348602
Q15642	9606.ENSP00000331504
Q15642	9606.ENSP00000473001
Q15642	9606.ENSP00000393776
Q15642	9606.ENSP00000365891
Q15642	9606.ENSP00000497733
Q15642	9606.ENSP00000473001
Q15642	9606.ENSP00000497733
Q15642	9606.ENSP00000365891
Q15642	9606.ENSP00000348602
Q15642	9606.ENSP00000497733
Q15642	9606.ENSP00000473001
Q15642	9606.ENSP00000393776
Q15642	9606.ENSP00000365891
Q15642	9606.ENSP00000473001
Q15642	9606.ENSP00000497733
Q15642	9606.ENSP00000473001
Q15052	9606.ENSP00000267257
Q15052	9606.ENSP00000347464
Q15052	9606.ENSP00000378338
Q15052	9606.ENSP00000353864
Q15052	9606.ENSP00000497733
Q15052	9606.ENSP00000495631
Q15052	9606.ENSP00000250617
Q15052	9606.ENSP00000278568
Q15052	9606.ENSP00000314067
Q15052	9606.ENSP00000267257
Q15052	9606.ENSP00000497733
Q15052	9606.ENSP00000314067
Q15052	9606.ENSP00000495631
Q15052	9606.ENSP00000353864
Q15052	9606.ENSP00000278568
Q15052	9606.ENSP00000347464
Q15052	9606.ENSP00000378338
Q15052	9606.ENSP00000384515
Q15052	9606.ENSP00000278568
Q15052	9606.ENSP00000314067
Q15052	9606.ENSP00000497733
Q15052	9606.ENSP00000495631
Q15052	9606.ENSP00000384515
Q15052	9606.ENSP00000378338
Q15052	9606.ENSP00000347464
Q15052	9606.ENSP00000378338
Q15052	9606.ENSP00000347464
Q15052	9606.ENSP00000314067
Q15052	9606.ENSP00000353864
Q15052	9606.ENSP00000495631
Q15052	9606.ENSP00000497733
Q15052	9606.ENSP00000347464
Q15052	9606.ENSP00000378338
Q15052	9606.ENSP00000353864
Q15052	9606.ENSP00000497733
Q15052	9606.ENSP00000495631
Q15052	9606.ENSP00000353864
Q15052	9606.ENSP00000378338
Q15052	9606.ENSP00000497733
Q15052	9606.ENSP00000495631
Q15052	9606.ENSP00000378338
Q15052	9606.ENSP00000497733
Q15052	9606.ENSP00000495631
Q15052	9606.ENSP00000384515
Q15052	9606.ENSP00000497733
Q15052	9606.ENSP00000495631
Q15052	9606.ENSP00000495631
Q15052	9606.ENSP00000497733
Q15052	9606.ENSP00000497733
Q9Y2X7	9606.ENSP00000312262
Q9Y2X7	9606.ENSP00000376609
Q9Y2X7	9606.ENSP00000349486
Q9Y2X7	9606.ENSP00000347655
Q9Y2X7	9606.ENSP00000381129
Q9Y2X7	9606.ENSP00000267257
Q9Y2X7	9606.ENSP00000495631
Q9Y2X7	9606.ENSP00000278568
Q9Y2X7	9606.ENSP00000347464
Q9Y2X7	9606.ENSP00000378338
Q9Y2X7	9606.ENSP00000312262
Q9Y2X7	9606.ENSP00000278568
Q9Y2X7	9606.ENSP00000376609
Q9Y2X7	9606.ENSP00000347655
Q9Y2X7	9606.ENSP00000381129
Q9Y2X7	9606.ENSP00000495631
Q9Y2X7	9606.ENSP00000378338
Q9Y2X7	9606.ENSP00000347464
Q9Y2X7	9606.ENSP00000349486
Q9Y2X7	9606.ENSP00000378338
Q9Y2X7	9606.ENSP00000347464
Q9Y2X7	9606.ENSP00000495631
Q9Y2X7	9606.ENSP00000495631
Q9Y2X7	9606.ENSP00000376609
Q9Y2X7	9606.ENSP00000347655
Q9Y2X7	9606.ENSP00000347464
Q9Y2X7	9606.ENSP00000378338
Q9Y2X7	9606.ENSP00000349486
Q9Y2X7	9606.ENSP00000376609
Q9Y2X7	9606.ENSP00000347655
Q9Y2X7	9606.ENSP00000378338
Q9Y2X7	9606.ENSP00000381129
Q9Y2X7	9606.ENSP00000495631
Q9Y2X7	9606.ENSP00000381129
Q9Y2X7	9606.ENSP00000376609
Q9Y2X7	9606.ENSP00000378338
Q9Y2X7	9606.ENSP00000378338
Q9Y2X7	9606.ENSP00000495631
Q9Y2X7	9606.ENSP00000378338
Q9Y2X7	9606.ENSP00000381129
Q9Y2X7	9606.ENSP00000495631
Q9Y2X7	9606.ENSP00000495631
P21860	9606.ENSP00000354910
P21860	9606.ENSP00000428056
P21860	9606.ENSP00000401303
P21860	9606.ENSP00000287842
P21860	9606.ENSP00000376345
P21860	9606.ENSP00000404131
P21860	9606.ENSP00000269571
