Protein A	Protein B
O00329	9606.ENSP00000501150
O00329	9606.ENSP00000419260
O00329	9606.ENSP00000483570
O00329	9606.ENSP00000501150
O00329	9606.ENSP00000428056
O00329	9606.ENSP00000483570
O00329	9606.ENSP00000501150
O00329	9606.ENSP00000501150
P16333	9606.ENSP00000278568
P16333	9606.ENSP00000376330
P16333	9606.ENSP00000365891
P16333	9606.ENSP00000472929
P16333	9606.ENSP00000376345
P16333	9606.ENSP00000417273
P16333	9606.ENSP00000472929
P16333	9606.ENSP00000278568
P16333	9606.ENSP00000294129
P16333	9606.ENSP00000365891
P16333	9606.ENSP00000368190
P16333	9606.ENSP00000417273
P16333	9606.ENSP00000376330
P16333	9606.ENSP00000376345
P16333	9606.ENSP00000472929
P16333	9606.ENSP00000365891
P16333	9606.ENSP00000376345
P16333	9606.ENSP00000417273
P16333	9606.ENSP00000376330
P16333	9606.ENSP00000376345
P16333	9606.ENSP00000365891
P16333	9606.ENSP00000417273
P16333	9606.ENSP00000368190
P16333	9606.ENSP00000472929
P16333	9606.ENSP00000376345
P16333	9606.ENSP00000376330
P16333	9606.ENSP00000417273
P16333	9606.ENSP00000376345
P16333	9606.ENSP00000417273
P16333	9606.ENSP00000472929
P16333	9606.ENSP00000376345
P16333	9606.ENSP00000417273
P16333	9606.ENSP00000417273
P16333	9606.ENSP00000472929
P16333	9606.ENSP00000417273
P16333	9606.ENSP00000472929
P00734	9606.ENSP00000356771
P00734	9606.ENSP00000333203
P00734	9606.ENSP00000364709
P00734	9606.ENSP00000356671
P00734	9606.ENSP00000366307
P00734	9606.ENSP00000306099
P00734	9606.ENSP00000498441
P00734	9606.ENSP00000336829
P00734	9606.ENSP00000308541
P00734	9606.ENSP00000366307
P00734	9606.ENSP00000364709
P00734	9606.ENSP00000356771
P00734	9606.ENSP00000333203
P00734	9606.ENSP00000356671
P00734	9606.ENSP00000498441
P00734	9606.ENSP00000336829
P00734	9606.ENSP00000308541
P00734	9606.ENSP00000333203
P00734	9606.ENSP00000321326
P00734	9606.ENSP00000498441
P00734	9606.ENSP00000356771
P00734	9606.ENSP00000356671
P00734	9606.ENSP00000336829
P00734	9606.ENSP00000364709
P00734	9606.ENSP00000366307
P00734	9606.ENSP00000364709
P00734	9606.ENSP00000356671
P00734	9606.ENSP00000366307
P00734	9606.ENSP00000356771
P00734	9606.ENSP00000366307
P00734	9606.ENSP00000336829
P00734	9606.ENSP00000364709
P00734	9606.ENSP00000356671
P00734	9606.ENSP00000498441
P00734	9606.ENSP00000366307
P00734	9606.ENSP00000364709
P00734	9606.ENSP00000356771
P00734	9606.ENSP00000356671
P00734	9606.ENSP00000498441
P00734	9606.ENSP00000356771
P00734	9606.ENSP00000366307
P00734	9606.ENSP00000498441
P00734	9606.ENSP00000364709
P00734	9606.ENSP00000498441
P00734	9606.ENSP00000366307
P00734	9606.ENSP00000364709
P00734	9606.ENSP00000498441
P00734	9606.ENSP00000366307
P00734	9606.ENSP00000498441
P05154	9606.ENSP00000364858
P05154	9606.ENSP00000308541
P05154	9606.ENSP00000484343
P05154	9606.ENSP00000333203
P05154	9606.ENSP00000361850
P05154	9606.ENSP00000361850
P05154	9606.ENSP00000264690
P05154	9606.ENSP00000333203
P05154	9606.ENSP00000308541
P05154	9606.ENSP00000313581
P05154	9606.ENSP00000361850
P05154	9606.ENSP00000308541
P05154	9606.ENSP00000333203
P05154	9606.ENSP00000333203
P05154	9606.ENSP00000361850
P05154	9606.ENSP00000333203
P05154	9606.ENSP00000484343
P05154	9606.ENSP00000333203
P05154	9606.ENSP00000314151
P05154	9606.ENSP00000333203
P05154	9606.ENSP00000484343
P05154	9606.ENSP00000361850
P05154	9606.ENSP00000364858
P05154	9606.ENSP00000364858
P05154	9606.ENSP00000484343
P05154	9606.ENSP00000484343
P78368	9606.ENSP00000262320
P78368	9606.ENSP00000255641
P78368	9606.ENSP00000353904
P78368	9606.ENSP00000317578
P78368	9606.ENSP00000359719
P78368	9606.ENSP00000366488
P78368	9606.ENSP00000309591
P78368	9606.ENSP00000312262
P78368	9606.ENSP00000262320
P78368	9606.ENSP00000353904
P78368	9606.ENSP00000475724
P78368	9606.ENSP00000317578
P78368	9606.ENSP00000366488
P78368	9606.ENSP00000309591
P78368	9606.ENSP00000359719
P78368	9606.ENSP00000312262
P78368	9606.ENSP00000383996
P78368	9606.ENSP00000309591
P78368	9606.ENSP00000475724
P78368	9606.ENSP00000353904
P78368	9606.ENSP00000366488
P78368	9606.ENSP00000359719
P78368	9606.ENSP00000353904
P78368	9606.ENSP00000317578
P78368	9606.ENSP00000353904
P78368	9606.ENSP00000383996
P78368	9606.ENSP00000475724
P78368	9606.ENSP00000366488
P78368	9606.ENSP00000359719
P78368	9606.ENSP00000366488
Q5S007	9606.ENSP00000449089
Q5S007	9606.ENSP00000353408
Q5S007	9606.ENSP00000364204
Q5S007	9606.ENSP00000335153
Q5S007	9606.ENSP00000340989
Q5S007	9606.ENSP00000314499
Q5S007	9606.ENSP00000500990
Q5S007	9606.ENSP00000355865
Q5S007	9606.ENSP00000340278
Q5S007	9606.ENSP00000356107
Q5S007	9606.ENSP00000340989
Q5S007	9606.ENSP00000340278
Q5S007	9606.ENSP00000500990
Q5S007	9606.ENSP00000364204
Q5S007	9606.ENSP00000355865
Q5S007	9606.ENSP00000449089
Q5S007	9606.ENSP00000356107
Q5S007	9606.ENSP00000340989
Q5S007	9606.ENSP00000449089
Q5S007	9606.ENSP00000500990
Q5S007	9606.ENSP00000340278
Q5S007	9606.ENSP00000355865
Q5S007	9606.ENSP00000364204
Q5S007	9606.ENSP00000449089
Q5S007	9606.ENSP00000500990
Q5S007	9606.ENSP00000364204
Q5S007	9606.ENSP00000355865
Q5S007	9606.ENSP00000356107
Q5S007	9606.ENSP00000449089
Q5S007	9606.ENSP00000500990
Q5S007	9606.ENSP00000364204
Q5S007	9606.ENSP00000364204
Q5S007	9606.ENSP00000500990
Q5S007	9606.ENSP00000449089
Q5S007	9606.ENSP00000500990
Q5S007	9606.ENSP00000500990
O75529	9606.ENSP00000299424
O75529	9606.ENSP00000263974
O75529	9606.ENSP00000360515
O75529	9606.ENSP00000356848
O75529	9606.ENSP00000307684
O75529	9606.ENSP00000339917
O75529	9606.ENSP00000370193
O75529	9606.ENSP00000352925
O75529	9606.ENSP00000417510
O75529	9606.ENSP00000294168
O75529	9606.ENSP00000339917
O75529	9606.ENSP00000307684
O75529	9606.ENSP00000356848
O75529	9606.ENSP00000360515
O75529	9606.ENSP00000299424
