;<hmm name>;;;
#=ID;FHA;(Pfam);FHA_LIG_0-6;(PLoS_CB_2010)
#=ID;FHA;(Pfam);FHA_LIG_0-7;(PLoS_CB_2010)
#=ID;FHA;(Pfam);FHA_LIG_0-4;(PLoS_CB_2010)
#=ID;FHA;(Pfam);FHA_LIG_0-2;(PLoS_CB_2010)
#=ID;BIR;(Pfam);BIR_LIG_0-0;(PLoS_CB_2010)
#=ID;BIR;(Pfam);BIR_LIG_0-3;(PLoS_CB_2010)
#=ID;BIR;(Pfam);BIR_LIG_0-4;(PLoS_CB_2010)
#=ID;Bcl-2;(Pfam);Bcl-2_LIG_2-2;(PLoS_CB_2010)
#=ID;Fibrinogen_C;(Pfam);Fibrinogen_C_LIG_0-0;(PLoS_CB_2010)
#=ID;PHD;(Pfam);PHD_LIG_0-0;(PLoS_CB_2010)
#=ID;PHD;(Pfam);PHD_LIG_0-10;(PLoS_CB_2010)
#=ID;PHD;(Pfam);PHD_LIG_0-1;(PLoS_CB_2010)
#=ID;PHD;(Pfam);PHD_LIG_0-2;(PLoS_CB_2010)
#=ID;PHD;(Pfam);PHD_LIG_0-22;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-0;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-25;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-1;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-13;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-48;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-7;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-54;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-4;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-47;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-2;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-21;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-44;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-9;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-11;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-19;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-3;(PLoS_CB_2010)
#=ID;Asp;(Pfam);Asp_LIG_2-0;(PLoS_CB_2010)
#=ID;Cyclin_N;(Pfam);Cyclin_N_LIG_0-0;(PLoS_CB_2010)
#=ID;Cyclin_N;(Pfam);Cyclin_N_LIG_0-1;(PLoS_CB_2010)
#=ID;Cyclin_N;(Pfam);Cyclin_N_LIG_0-13;(PLoS_CB_2010)
#=ID;TRF;(Pfam);TRF_LIG_0-2;(PLoS_CB_2010)
#=ID;UCR_14kD;(Pfam);UCR_14kD_LIG_0-0;(PLoS_CB_2010)
#=ID;UCR_14kD;(Pfam);UCR_14kD_LIG_0-21;(PLoS_CB_2010)
